City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
207,Chingola,ZM,86.94,overcast clouds,-12.529,27.8838,Protea Hotel by Marriott Chingola
209,Itarema,BR,89.96,broken clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
213,Monte Carmelo,BR,88.23,clear sky,-18.7247,-47.4986,Park hotel
215,Bonthe,SL,84.0,light rain,7.5264,-12.505,Bonthe Holiday Village
216,Mount Isa,AU,74.97,light rain,-20.7333,139.5,ibis Styles Mt Isa Verona
220,Fethiye,TR,73.27,clear sky,36.6217,29.1164,Club & Hotel Letoonia
222,Maragogi,BR,84.34,overcast clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
223,Labuhan,ID,81.16,overcast clouds,-6.8844,112.2051,PT PPI Lamongan Tambak C
227,Kingston,JM,87.21,few clouds,17.997,-76.7936,The Jamaica Pegasus Hotel
228,Faanui,PF,76.96,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
233,Kulai,MY,80.42,few clouds,1.6561,103.6032,Hotel U and Me
234,Black River,JM,88.99,scattered clouds,18.0264,-77.8487,Idlers' Rest Beach Hotel
237,Namatanai,PG,79.36,scattered clouds,-3.6667,152.4333,Seagulls Inn Namatani
241,Monrovia,LR,81.27,light rain,6.3005,-10.7969,Sunset Inn
243,Praxedis Guerrero,MX,73.74,broken clouds,31.3667,-106.0167,Congregación placitas de Otero
244,Meulaboh,ID,78.46,overcast clouds,4.1363,96.1285,Kost Pria
245,Teguise,ES,73.62,scattered clouds,29.0605,-13.564,B&B La Casona de Nazaret
246,Namibe,AO,73.62,scattered clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
247,Matay,EG,80.26,clear sky,28.419,30.7792,Nag Aespen
257,Katobu,ID,76.33,broken clouds,-4.9408,122.5276,La Ode Husein
259,Phan Thiet,VN,77.54,overcast clouds,10.9333,108.1,Hotel Saigon-PT
260,Mahebourg,MU,76.24,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
261,Jalu,LY,84.85,clear sky,29.0331,21.5482,صاحبة الفخامة
265,Dubai,AE,88.05,clear sky,25.2582,55.3047,"Radisson Blu Hotel, Dubai Deira Creek"
267,Bathsheba,BB,88.41,scattered clouds,13.2167,-59.5167,Atlantis Hotel
268,Zambezi,ZM,88.75,broken clouds,-13.5432,23.1047,Royal Kutachika Lodge
269,Bambanglipuro,ID,78.3,overcast clouds,-7.95,110.2833,Puri Brata
270,Doha,QA,85.98,clear sky,25.2867,51.5333,Movenpick Hotel Doha
271,Alice Springs,AU,76.55,scattered clouds,-23.7,133.8833,Desert Palms Alice Springs
274,Faya,SA,72.12,clear sky,18.3851,42.4509,املاك خالد الشعشوع
276,Bandarbeyla,SO,78.82,few clouds,9.4942,50.8122,JABIR HOTEL
277,Curaca,BR,88.14,overcast clouds,-8.9903,-39.9094,Hotel Recanto Campestre
282,San Cristobal,VE,77.18,broken clouds,7.7669,-72.225,Posada Villaven C.A.
283,Dondaicha,IN,79.43,clear sky,21.3333,74.5667,Mahavir Farm House
286,Qurayyat,SA,77.18,clear sky,31.3318,37.3428,Mozon Furnished Aprtments
287,Yei,SS,76.1,overcast clouds,4.095,30.6779,City Link Hotel
290,Mindelo,CV,83.75,few clouds,16.8901,-24.9804,Hotel Gaudi
297,Kismayo,SO,79.23,few clouds,-0.3582,42.5454,Agan-Hotel
304,Manokwari,ID,79.03,few clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
308,Santa Cruz,BO,89.65,smoke,-17.8,-63.1667,Aviador Hotel Boutique
