City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Puerto Ayora,EC,2021-10-20 14:23:52,-0.7393,-90.3518,73.36,87,100,8.97
68,Linxia,CN,2021-10-20 14:23:52,35.6003,103.2064,41.99,78,86,3.47
69,Avarua,CK,2021-10-20 14:23:52,-21.2078,-159.775,71.65,73,40,4.61
70,Anadyr,RU,2021-10-20 14:23:53,64.75,177.4833,21.7,92,75,5.99
71,Coihaique,CL,2021-10-20 14:23:53,-45.5752,-72.0662,61.41,51,75,3.44
72,Mayo,US,2021-10-20 14:23:53,38.8876,-76.5119,69.78,60,1,3.0
73,Gweta,BW,2021-10-20 14:23:54,-20.1833,25.2333,90.01,20,0,9.33
74,Chipinge,ZW,2021-10-20 14:23:54,-20.1883,32.6236,69.98,46,68,4.94
75,Kahului,US,2021-10-20 14:20:35,20.8947,-156.47,73.85,83,1,0.0
76,Sao Filipe,CV,2021-10-20 14:23:54,14.8961,-24.4956,83.46,59,0,6.62
77,Tasiilaq,GL,2021-10-20 14:23:55,65.6145,-37.6368,33.96,58,75,10.31
78,Algeciras,ES,2021-10-20 14:23:55,36.1333,-5.4505,78.57,73,20,10.36
79,Kapoeta,SS,2021-10-20 14:23:55,4.7717,33.5903,92.37,29,100,17.25
80,Adre,TD,2021-10-20 14:23:56,13.4667,22.2,95.04,14,24,13.91
81,Aranos,NA,2021-10-20 14:23:56,-24.1333,19.1167,76.96,39,96,14.92
82,Ribeira Grande,PT,2021-10-20 14:23:56,38.5167,-28.7,72.0,64,20,9.22
83,Mataura,NZ,2021-10-20 14:23:57,-46.1927,168.8643,39.76,86,78,1.1
84,Thompson,CA,2021-10-20 14:23:57,55.7435,-97.8558,24.96,86,40,4.61
85,Cap Malheureux,MU,2021-10-20 14:23:57,-19.9842,57.6142,75.69,68,2,5.01
86,Lazaro Cardenas,MX,2021-10-20 14:23:57,17.9583,-102.2,78.85,84,100,4.0
87,Carnarvon,AU,2021-10-20 14:23:58,-24.8667,113.6333,68.07,60,90,14.97
88,Kayes,ML,2021-10-20 14:23:58,14.0,-11.0,94.53,34,100,6.44
89,Talcahuano,CL,2021-10-20 14:23:58,-36.7167,-73.1167,53.28,94,90,12.66
90,Hervey Bay,AU,2021-10-20 14:23:59,-25.2986,152.8535,65.03,76,1,9.86
91,Takoradi,GH,2021-10-20 14:23:59,4.8845,-1.7554,81.36,80,91,10.16
92,Ayan,RU,2021-10-20 14:23:59,56.45,138.1667,34.56,59,100,5.79
93,Tuktoyaktuk,CA,2021-10-20 14:24:00,69.4541,-133.0374,26.6,93,75,6.91
94,Khatanga,RU,2021-10-20 14:24:00,71.9667,102.5,7.2,96,91,5.99
95,Port-Cartier,CA,2021-10-20 14:24:00,50.0334,-66.8654,49.75,84,100,5.95
96,Viedma,AR,2021-10-20 14:20:27,-40.8135,-62.9967,79.32,22,0,17.81
97,Pisco,PE,2021-10-20 14:24:01,-13.7,-76.2167,64.45,77,0,9.22
98,Jamestown,US,2021-10-20 14:19:29,42.097,-79.2353,62.19,88,1,5.99
99,Sept-Iles,CA,2021-10-20 14:23:20,50.2001,-66.3821,50.05,81,75,4.0
100,Honningsvag,NO,2021-10-20 14:24:01,70.9821,25.9704,28.15,69,20,8.05
101,Qaanaaq,GL,2021-10-20 14:24:02,77.484,-69.3632,24.28,93,100,9.1
102,Olinda,BR,2021-10-20 14:21:28,-8.0089,-34.8553,85.73,66,40,9.22
103,Lompoc,US,2021-10-20 14:22:18,34.6391,-120.4579,54.79,93,1,5.75
104,Labuhan,ID,2021-10-20 14:24:03,-6.8844,112.2051,82.33,74,100,8.1
105,Rosetta,EG,2021-10-20 14:24:04,31.4044,30.4164,73.35,59,0,17.0
106,San Patricio,US,2021-10-20 14:24:04,28.017,-97.5169,78.66,77,89,3.18
107,Gladstone,AU,2021-10-20 14:24:04,-23.85,151.25,64.33,82,41,5.75
108,Waipawa,NZ,2021-10-20 14:24:05,-41.4122,175.5153,47.03,86,100,2.44
109,Antiguo Morelos,MX,2021-10-20 14:24:05,22.5495,-99.0812,75.13,83,32,2.08
110,Doha,QA,2021-10-20 14:24:05,25.2867,51.5333,95.31,62,0,10.36
111,Yellowknife,CA,2021-10-20 14:24:06,62.456,-114.3525,37.42,94,75,13.8
112,Victoria,HK,2021-10-20 14:23:54,22.2855,114.1577,81.32,81,57,3.0
113,Castro,BR,2021-10-20 14:24:06,-24.7911,-50.0119,62.22,66,27,7.81
114,Airai,TL,2021-10-20 14:24:06,-8.9266,125.4092,64.69,88,61,0.67
115,Villanueva De Cordoba,ES,2021-10-20 14:24:07,38.3228,-4.6287,76.73,35,79,4.85
116,Saldanha,ZA,2021-10-20 14:24:07,-33.0117,17.9442,95.05,52,100,13.82
117,Kavieng,PG,2021-10-20 14:24:07,-2.5744,150.7967,81.32,79,21,7.4
118,Nikolskoye,RU,2021-10-20 14:24:08,59.7035,30.7861,37.87,95,100,14.94
119,Jalu,LY,2021-10-20 14:24:08,29.0331,21.5482,83.93,29,9,10.54
120,Houma,US,2021-10-20 14:24:08,29.5958,-90.7195,79.0,91,40,6.91
121,Tessalit,ML,2021-10-20 14:24:08,20.1986,1.0114,90.03,12,0,11.34
122,Atambua,ID,2021-10-20 14:24:09,-9.1061,124.8925,78.67,79,66,0.49
123,Jumla,NP,2021-10-20 14:24:09,29.2747,82.1838,54.28,91,23,3.62
124,Swan River,CA,2021-10-20 14:24:10,52.1058,-101.2676,21.09,93,3,5.75
125,Wiehl,DE,2021-10-20 14:24:10,50.95,7.5333,64.06,87,100,15.32
126,Isiro,CD,2021-10-20 14:24:10,2.7739,27.616,72.01,86,100,2.44
127,Adrar,MR,2021-10-20 14:24:11,20.5022,-10.0711,93.29,11,9,18.63
128,Kamenka,RU,2021-10-20 14:24:11,51.3223,42.7678,39.56,59,90,9.62
129,Nome,US,2021-10-20 14:22:52,64.5011,-165.4064,33.87,93,90,10.36
130,Zambezi,ZM,2021-10-20 14:24:11,-13.5432,23.1047,82.6,41,98,2.24
131,Kirakira,SB,2021-10-20 14:24:12,-10.4544,161.9205,79.2,83,32,2.59
132,Surt,LY,2021-10-20 14:24:12,31.2089,16.5887,74.93,62,100,13.02
133,Upernavik,GL,2021-10-20 14:24:12,72.7868,-56.1549,32.86,99,100,16.13
134,Cherskiy,RU,2021-10-20 14:24:13,68.75,161.3,-8.34,100,100,3.94
135,Samana,DO,2021-10-20 14:24:13,19.2056,-69.3369,84.42,84,40,0.0
136,Flinders,AU,2021-10-20 14:24:13,-34.5833,150.8552,60.8,89,43,1.99
137,Zagare,LT,2021-10-20 14:24:14,56.3592,23.25,56.16,89,100,19.44
138,Ancud,CL,2021-10-20 14:24:14,-41.8697,-73.8203,56.43,84,100,8.61
