,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
349,Okha,RU,53.5739,142.9478,31.96,89,19,8.23,few clouds
350,Pandharpur,IN,17.6667,75.3333,82.65,44,35,7.07,scattered clouds
351,Dera Bugti,PK,29.0307,69.151,75.92,23,0,4.07,clear sky
352,Mehamn,NO,71.0357,27.8492,34.3,74,100,14.38,light rain
353,Komsomolskiy,UZ,40.4272,71.7189,45.82,42,1,4.61,clear sky
354,Dauphin,CA,51.1494,-100.0502,35.74,100,90,8.05,overcast clouds
355,Markala,ML,13.7021,-6.0659,93.29,38,76,9.37,broken clouds
356,Byron Bay,AU,-28.65,153.6167,73.29,94,5,16.64,clear sky
357,Gilgit,PK,35.9221,74.3087,53.28,56,60,3.69,broken clouds
358,Lufilufi,WS,-13.8745,-171.5986,74.98,70,100,16.82,overcast clouds
359,Alakurtti,RU,66.9672,30.3491,24.64,94,100,3.67,overcast clouds
360,Nizwa,OM,22.9333,57.5333,85.73,30,11,3.8,few clouds
361,Kavieng,PG,-2.5744,150.7967,82.71,76,63,16.08,light rain
362,Tamandare,BR,-8.7597,-35.1047,84.81,65,86,12.57,overcast clouds
363,Zhezkazgan,KZ,47.8043,67.7144,47.26,40,11,10.4,few clouds
364,Puerto Narino,CO,-3.7703,-70.3831,90.95,53,48,3.62,scattered clouds
365,Cianorte,BR,-23.6633,-52.605,79.39,44,93,12.91,overcast clouds
366,Mana,GF,5.6592,-53.7767,81.73,84,100,6.38,overcast clouds
367,Sakakah,SA,29.9697,40.2064,85.57,22,4,5.53,clear sky
368,Astana,KZ,51.1801,71.446,49.95,76,0,24.61,clear sky
369,Alyangula,AU,-13.8483,136.4192,80.47,94,18,5.75,few clouds
370,Dingle,PH,10.9995,122.6711,74.98,94,100,5.77,light rain
371,Sorland,NO,67.667,12.6934,28.47,52,83,8.23,broken clouds
372,Olga,RU,43.7444,135.2892,38.98,72,6,5.12,clear sky
373,Ostrovnoy,RU,68.0531,39.5131,31.23,80,100,15.55,light snow
374,Sioux Lookout,CA,50.1001,-91.917,37.47,93,75,5.75,light intensity drizzle
375,Una,IN,20.8167,71.0333,76.35,71,5,8.55,clear sky
376,Okhotsk,RU,59.3833,143.3,17.98,80,100,11.36,overcast clouds
377,Dubbo,AU,-32.25,148.6167,59.13,63,20,9.22,few clouds
378,Lovozero,RU,68.005,35.0117,26.55,89,100,11.72,overcast clouds
379,Lorengau,PG,-2.0226,147.2712,80.89,81,96,7.83,overcast clouds
380,Cayenne,GF,4.9333,-52.3333,86.09,76,75,3.0,broken clouds
381,Ixtapa,MX,20.7,-105.2,84.22,83,40,3.44,scattered clouds
382,Nuuk,GL,64.1835,-51.7216,29.01,50,20,12.66,few clouds
383,Usinsk,RU,65.9939,57.5281,22.19,94,72,12.57,broken clouds
384,Shellbrook,CA,53.2168,-106.4011,34.83,85,58,13.73,broken clouds
385,Haines Junction,CA,60.7522,-137.5108,22.95,93,100,1.14,overcast clouds
386,Kiunga,PG,-6.1219,141.2906,74.21,91,97,3.09,overcast clouds
387,Tuatapere,NZ,-46.1333,167.6833,51.76,92,100,0.92,light rain
388,Vardo,NO,70.3705,31.1107,30.4,74,100,12.75,light snow
389,Trelew,AR,-43.249,-65.3051,61.11,13,5,20.83,clear sky
390,Hun,LY,29.1268,15.9477,93.85,13,89,14.88,overcast clouds
391,Cumberland,US,35.0502,-78.8664,71.49,50,1,14.97,clear sky
392,Sola,VU,-13.8833,167.55,81.0,77,22,16.35,few clouds
393,Alto Araguaia,BR,-17.3147,-53.2153,90.41,40,15,14.81,few clouds
394,Saint-Augustin,CA,51.226,-58.6502,41.47,85,100,17.83,overcast clouds
395,Aasiaat,GL,68.7098,-52.8699,20.62,92,100,4.18,overcast clouds
396,Yarmouth,US,41.7057,-70.2286,61.65,83,75,15.01,broken clouds
397,Krasnoselkup,RU,65.7,82.4667,32.05,98,100,13.62,light snow
398,Quelimane,MZ,-17.8786,36.8883,84.15,58,0,16.11,clear sky
399,Tlaltenango,MX,19.1667,-98.3333,59.5,77,75,3.44,broken clouds
400,Bucerias,MX,20.75,-105.3333,84.97,83,40,3.44,scattered clouds
401,Kargat,RU,55.1956,80.2811,45.16,71,100,18.81,overcast clouds
402,Lima,PE,-12.0432,-77.0282,61.14,82,90,6.91,overcast clouds
403,Tyshkivka,UA,48.4967,30.9423,50.83,44,10,8.3,clear sky
404,Harper,LR,4.375,-7.7169,80.04,81,100,8.43,light rain
405,Mulchen,CL,-37.7167,-72.2333,57.06,43,57,6.44,broken clouds
406,Huayucachi,PE,-12.1333,-75.2333,64.85,39,86,1.28,overcast clouds
407,Fort Thomas,US,39.0751,-84.4472,55.78,83,40,5.75,scattered clouds
408,Germersheim,DE,49.2231,8.3639,59.18,62,38,3.78,scattered clouds
409,Lakatoro,VU,-16.0999,167.4164,78.51,85,74,8.32,broken clouds
410,Atar,MR,20.5169,-13.0499,98.65,14,0,6.91,clear sky
411,Katherine,AU,-14.4667,132.2667,84.52,51,100,4.61,light rain
412,Srednekolymsk,RU,67.45,153.6833,-13.09,99,67,3.65,broken clouds
413,Norrtalje,SE,59.758,18.705,39.29,73,67,8.5,broken clouds
414,Lillooet,CA,50.6856,-121.942,45.32,85,84,4.63,broken clouds
415,Eureka,US,40.8021,-124.1637,54.25,89,100,5.99,light rain
416,Mildura,AU,-34.2,142.15,52.07,62,0,6.91,clear sky
417,Tupaciguara,BR,-18.5922,-48.705,86.45,34,1,7.61,clear sky
418,Hovd,MN,48.0056,91.6419,38.57,49,100,4.16,overcast clouds
419,Joshimath,IN,30.5667,79.5667,54.41,75,6,4.88,clear sky
420,Inhambane,MZ,-23.865,35.3833,76.98,83,20,20.71,few clouds
421,Beidao,CN,34.5686,105.8933,50.25,84,92,2.3,overcast clouds
422,Emilio Carranza,MX,19.9711,-96.6114,79.59,70,34,6.87,scattered clouds
423,Ejea De Los Caballeros,ES,42.1263,-1.1372,65.07,30,0,8.1,clear sky
424,Mayskiy,RU,47.6931,40.1025,58.44,67,100,8.97,overcast clouds
425,Kyren,RU,51.6828,102.1408,36.3,73,100,1.81,overcast clouds
426,Touros,BR,-5.1989,-35.4608,88.7,54,51,13.53,broken clouds
427,Berlevag,NO,70.8578,29.0864,34.12,69,100,15.97,overcast clouds
428,Melioratorov,RU,57.2107,65.6077,48.58,57,0,13.42,clear sky
429,Codrington,AU,-38.2667,141.9667,49.42,88,15,10.96,few clouds
430,San Carlos De Bariloche,AR,-41.1456,-71.3082,53.35,40,40,26.46,scattered clouds
431,Otatitlan,MX,18.2,-96.0333,75.76,88,100,1.59,overcast clouds
432,Kulhudhuffushi,MV,6.6221,73.07,81.41,79,100,14.29,moderate rain
433,Bukachacha,RU,52.9833,116.9167,31.23,82,7,1.01,clear sky
434,Fortuna,US,40.5982,-124.1573,53.98,90,100,11.01,moderate rain
435,Hervey Bay,AU,-25.2986,152.8535,77.04,87,31,22.01,scattered clouds
436,Xining,CN,36.6167,101.7667,44.13,76,16,2.55,few clouds
437,Mahibadhoo,MV,3.7833,72.9667,83.26,70,39,14.09,scattered clouds
438,Barra Patuca,HN,15.8,-84.2833,80.94,85,98,3.09,overcast clouds
439,Georgiyevka,KZ,43.0369,74.7114,39.24,81,0,2.24,clear sky
440,Makakilo City,US,21.3469,-158.0858,75.52,73,1,3.44,clear sky
441,Bulgan,MN,48.8125,103.5347,34.0,47,36,1.39,scattered clouds
442,Qianan,CN,44.9932,124.0581,43.57,44,0,8.97,clear sky
443,Katangli,RU,51.7102,143.2326,31.82,92,16,10.67,few clouds
444,Palauig,PH,15.435,119.9045,80.6,77,100,2.8,light rain
445,Punta De Piedra,VE,7.6176,-71.4916,79.09,89,63,3.09,broken clouds
446,Nabire,ID,-3.3667,135.4833,76.37,92,95,2.84,overcast clouds
447,Nosy Varika,MG,-20.5833,48.5333,77.04,87,56,10.89,broken clouds
448,Torre Del Campo,ES,37.7705,-3.8973,72.37,39,8,3.0,clear sky
449,Limbang,MY,4.75,115.0,78.91,96,100,2.28,overcast clouds
450,Bogorodskoye,RU,56.55,37.8833,38.14,85,96,5.95,overcast clouds
451,Samana,DO,19.2056,-69.3369,85.96,74,20,6.91,few clouds
452,Onega,RU,63.9061,38.1404,30.79,89,100,7.56,overcast clouds
453,Cabo San Lucas,MX,22.8909,-109.9124,75.61,78,20,6.91,few clouds
454,Tomatlan,MX,19.9333,-105.25,77.72,89,100,2.35,overcast clouds
455,Anloga,GH,5.7947,0.8973,80.47,78,100,7.99,moderate rain
456,Halifax,CA,44.6453,-63.5724,65.68,88,75,3.0,broken clouds
457,Tessalit,ML,20.1986,1.0114,99.54,10,10,5.68,clear sky
458,Zabid,YE,14.1951,43.3152,87.98,55,60,9.37,broken clouds
459,Novo Aripuana,BR,-5.1206,-60.3797,94.66,43,100,3.56,overcast clouds
460,Mattru,SL,7.6244,-11.8332,83.1,81,58,4.92,moderate rain
461,Santa Ines,BR,-3.6667,-45.38,86.63,63,100,3.09,overcast clouds
462,Rosita,NI,13.9268,-84.4032,82.9,77,78,2.01,broken clouds
463,El Paso,US,31.8001,-106.2005,72.01,34,20,4.61,few clouds
464,Golden,US,39.7555,-105.2211,61.39,27,100,1.01,overcast clouds
465,Bilibino,RU,68.0546,166.4372,-3.87,100,100,0.31,overcast clouds
466,Saint-Leu,RE,-21.15,55.2833,76.96,92,51,7.54,broken clouds
467,Marrakesh,MA,31.6315,-8.0083,80.67,36,0,5.75,clear sky
468,Poum,NC,-20.2333,164.0167,74.08,80,2,16.04,clear sky
469,Oranjestad,AW,12.524,-70.027,89.55,58,20,23.02,few clouds
470,Tazovskiy,RU,67.4667,78.7,27.86,96,95,11.01,overcast clouds
471,Jutai,BR,-5.1833,-68.9,90.7,53,72,4.88,broken clouds
472,Chirongui,YT,-12.9319,45.1483,80.53,71,1,4.36,clear sky
473,Tiarei,PF,-17.5333,-149.3333,73.42,93,100,18.19,moderate rain
474,Angoram,PG,-4.0625,144.0661,73.72,99,60,2.01,broken clouds
475,Hohhot,CN,40.8106,111.6522,37.69,60,0,4.47,clear sky
476,Ribnica,SI,45.7386,14.7275,54.23,87,100,4.32,overcast clouds
477,Olafsvik,IS,64.8945,-23.7142,45.61,91,99,10.65,overcast clouds
478,Clarence Town,AU,-32.5833,151.7833,66.56,98,44,4.29,scattered clouds
479,Paita,PE,-5.0892,-81.1144,72.16,77,100,10.76,overcast clouds
480,Menongue,AO,-14.6585,17.691,89.11,22,27,3.98,scattered clouds
481,Port Lincoln,AU,-34.7333,135.8667,53.98,77,4,11.45,clear sky
482,Yumen,CN,40.2833,97.2,45.12,37,72,13.51,broken clouds
483,Calabozo,VE,8.9242,-67.4293,89.6,48,10,10.63,clear sky
484,Sharjah,AE,25.3573,55.4033,88.09,58,0,6.91,clear sky
485,Huinan,CN,42.6225,126.2614,38.97,62,0,4.27,clear sky
486,Ambilobe,MG,-13.2,49.05,80.49,71,61,2.57,broken clouds
487,Salinas,US,36.6777,-121.6555,54.41,82,1,3.44,clear sky
488,Victor Harbor,AU,-35.5667,138.6167,55.99,75,31,1.01,scattered clouds
489,Puebloviejo,CO,10.9938,-74.2844,87.49,64,25,7.49,scattered clouds
490,Udalguri,IN,26.7667,92.1333,71.08,78,1,3.58,clear sky
491,Beringovskiy,RU,63.05,179.3167,11.57,76,46,11.21,scattered clouds
492,Madang,PG,-5.2246,145.7966,76.19,91,73,1.36,broken clouds
493,Dahra,DZ,36.2546,0.8519,65.84,61,100,5.35,overcast clouds
494,Bushehr,IR,28.9684,50.8385,84.22,51,0,9.22,clear sky
495,Kavaratti,IN,10.5669,72.642,82.17,76,93,3.94,overcast clouds
496,Ostrovtsy,RU,55.5939,37.9936,45.72,65,40,8.95,scattered clouds
497,Santiago De Cao,PE,-7.9589,-79.2392,65.44,80,94,13.0,overcast clouds
498,Bontang,ID,0.1333,117.5,78.31,86,100,0.89,overcast clouds
499,Gravdal,NO,68.1214,13.5031,28.29,80,40,1.14,scattered clouds
500,Walvis Bay,NA,-22.9575,14.5053,66.09,57,0,22.62,clear sky
501,Rexburg,US,43.826,-111.7897,44.58,70,90,12.66,overcast clouds
502,Ambulu,ID,-8.345,113.6058,77.92,84,98,1.72,overcast clouds
503,Rancho Palos Verdes,US,33.7445,-118.387,63.0,94,100,3.0,overcast clouds
504,Gornyak,RU,50.9942,81.4661,43.66,65,100,22.64,light rain
505,Aksu,CN,41.1231,80.2644,52.29,52,92,6.87,overcast clouds
506,Konstantinovka,RU,49.6167,127.9833,39.94,71,3,6.15,clear sky
507,Picayune,US,30.5255,-89.6795,78.78,69,0,4.52,clear sky
508,Prizren,XK,42.2139,20.7397,54.32,81,38,4.14,scattered clouds
509,Mitchell,US,43.7094,-98.0298,43.74,77,1,7.0,clear sky
510,Palmer,US,42.1584,-72.3287,55.47,66,75,1.01,broken clouds
511,Iwanai,JP,42.9744,140.5089,47.64,77,68,3.78,broken clouds
512,Katsuura,JP,35.1333,140.3,57.31,58,2,11.7,clear sky
513,Buri,BR,-23.7975,-48.5928,84.25,30,28,6.93,scattered clouds
514,Vilhena,BR,-12.7406,-60.1458,84.42,61,40,14.97,scattered clouds
515,Milkovo,RU,54.7167,158.6167,28.02,91,100,2.35,overcast clouds
516,Luanda,AO,-8.8368,13.2343,82.4,69,20,13.8,few clouds
517,Yanam,IN,16.7333,82.2167,82.8,92,41,2.89,light rain
518,Gubskaya,RU,44.3164,40.6358,55.11,53,21,1.3,few clouds
519,Hobyo,SO,5.3505,48.5268,80.64,74,12,10.63,few clouds
520,Sfantu Gheorghe,RO,45.8667,25.7833,53.92,65,72,6.17,broken clouds
521,Panzhihua,CN,26.5851,101.7128,59.61,86,2,1.39,clear sky
522,Auki,SB,-8.7676,160.7034,75.47,85,5,4.25,clear sky
523,Mizdah,LY,31.4451,12.9801,88.16,17,100,12.26,overcast clouds
524,Nanortalik,GL,60.1432,-45.2371,37.11,74,35,6.67,scattered clouds
525,Skibbereen,IE,51.55,-9.2667,55.2,91,100,25.41,moderate rain
526,Cockburn Town,TC,21.4612,-71.1419,83.34,73,44,18.99,scattered clouds
527,Laval,CA,45.57,-73.692,45.05,71,75,3.0,broken clouds
528,Gambela,ET,8.25,34.5833,83.77,57,37,2.19,scattered clouds
529,Curup,ID,-3.4667,102.5333,68.83,98,80,1.03,broken clouds
530,Abnub,EG,27.2696,31.1511,81.59,32,23,17.11,few clouds
531,Ternate,ID,0.8,127.4,81.09,76,90,0.76,overcast clouds
532,Nyurba,RU,63.2842,118.3319,38.17,84,100,10.33,overcast clouds
533,Vuktyl,RU,63.8567,57.3094,30.6,93,100,11.1,light snow
534,Gunjur,GM,13.2019,-16.7339,93.27,43,40,5.75,scattered clouds
535,Augusto Correa,BR,-1.0217,-46.635,90.14,55,100,7.23,overcast clouds
536,Purkersdorf,AT,48.1951,16.1626,53.91,63,75,4.61,broken clouds
537,Den Helder,NL,52.9599,4.7593,54.99,84,90,11.99,overcast clouds
538,Dalvik,IS,65.9702,-18.5286,37.33,98,100,1.74,overcast clouds
539,Alofi,NU,-19.0595,-169.9187,67.89,77,17,6.91,light rain
540,Ozinki,RU,51.1786,49.6769,55.89,66,100,8.84,overcast clouds
541,Imeni Zhelyabova,RU,58.9544,36.5956,40.89,82,100,6.93,overcast clouds
542,Kota Kinabalu,MY,5.9749,116.0724,76.98,94,20,3.44,few clouds
543,Rabo De Peixe,PT,37.8,-25.5833,71.11,68,20,10.36,few clouds
544,Ito,JP,34.9667,139.0833,55.76,79,66,12.12,broken clouds
545,Wausau,US,44.9591,-89.6301,43.63,79,1,8.05,clear sky
546,Formosa,AR,-26.1775,-58.1781,75.18,78,90,11.5,light rain
547,Kununurra,AU,-15.7667,128.7333,82.38,78,1,12.66,clear sky
548,Nhulunbuy,AU,-12.2333,136.7667,83.01,78,40,5.75,scattered clouds
549,Ballina,AU,-28.8667,153.5667,73.36,88,75,13.8,broken clouds
550,Sydney,AU,-33.8679,151.2073,66.7,92,0,1.01,clear sky
551,Alacranes,CU,22.7675,-81.5675,82.89,70,100,1.34,overcast clouds
552,Broome,US,42.2506,-75.833,48.7,74,90,1.01,overcast clouds
553,Coahuayana,MX,18.7333,-103.6833,81.88,79,99,1.92,overcast clouds
554,Casa Nova,BR,-9.4167,-41.1333,89.58,53,29,10.49,scattered clouds
555,Det Udom,TH,14.906,105.0784,73.22,81,99,9.86,overcast clouds
556,Khorixas,NA,-20.3667,14.9667,84.79,7,0,14.03,clear sky
557,Leighton Buzzard,GB,51.9172,-0.658,55.47,74,75,11.5,broken clouds
558,Nador,MA,35.174,-2.9287,71.67,68,20,6.91,few clouds
559,Praia Da Vitoria,PT,38.7333,-27.0667,72.75,83,40,10.4,scattered clouds
560,Yaan,NG,7.3833,8.5667,78.51,74,98,2.64,overcast clouds
561,Sorong,ID,-0.8833,131.25,80.71,79,46,4.9,heavy intensity rain
562,Gizo,SB,-8.103,156.8419,82.11,78,11,8.3,few clouds
563,Mayya,RU,61.7333,130.2811,13.32,99,85,0.47,overcast clouds
564,Galle,LK,6.0367,80.217,80.92,75,12,7.36,few clouds
565,Yucca Valley,US,34.1142,-116.4322,60.69,54,98,1.01,overcast clouds
566,Chikwawa,MW,-16.0335,34.8009,100.06,22,37,3.15,scattered clouds
567,Grand-Santi,GF,4.25,-54.3833,92.55,47,94,3.96,overcast clouds
568,Maniwaki,CA,46.3834,-75.966,39.58,60,100,1.14,overcast clouds
569,Rio Das Pedras,BR,-22.8433,-47.6061,91.74,22,0,8.93,clear sky
570,Port Blair,IN,11.6667,92.75,80.92,79,80,1.81,broken clouds
571,Ahar,IR,38.4774,47.0699,53.38,61,94,3.06,overcast clouds
572,Mayumba,GA,-3.432,10.6554,79.63,76,82,6.13,broken clouds
573,Tromso,NO,69.6496,18.957,32.02,55,0,3.0,clear sky
574,Villarrica,PY,-25.75,-56.4333,72.63,90,100,6.96,overcast clouds
575,Motala,SE,58.5371,15.0365,46.18,53,5,7.14,clear sky
576,Vredendal,ZA,-31.6683,18.5012,65.84,46,11,17.78,few clouds
577,Wanning,CN,18.8003,110.3967,70.66,87,99,11.77,overcast clouds
578,Fare,PF,-16.7,-151.0167,75.16,83,100,4.29,light rain
579,Bennington,US,42.8781,-73.1968,48.61,74,90,5.75,overcast clouds
580,Padang,ID,-0.9492,100.3543,77.05,89,79,4.85,broken clouds
581,Traralgon,AU,-38.1833,146.5333,52.41,88,96,4.0,overcast clouds
582,Ampanihy,MG,-24.7,44.75,79.66,46,5,12.06,clear sky
583,Tilichiki,RU,60.4667,166.1,4.57,89,92,7.96,overcast clouds
584,Vestmanna,FO,62.1564,-7.1664,49.12,100,75,20.71,broken clouds
585,Kijang,KR,35.2442,129.2139,51.53,60,9,5.01,clear sky
586,Kautokeino,NO,69.0125,23.0412,12.42,88,88,3.42,overcast clouds
587,Nishihara,JP,26.1842,127.7558,72.68,57,75,11.5,broken clouds
588,Lindi,TZ,-10.0,39.7167,79.25,70,6,8.7,clear sky
589,Ialibu,PG,-6.2821,143.9935,54.68,98,80,2.86,broken clouds
590,Trairi,BR,-3.2778,-39.2689,89.13,54,53,12.73,broken clouds
591,Grindavik,IS,63.8424,-22.4338,48.15,100,90,13.8,light intensity drizzle
592,Lukang,TW,24.0567,120.4352,79.43,79,27,6.67,scattered clouds
593,Talnakh,RU,69.4865,88.3972,20.93,96,100,5.95,light snow
594,Svetlogorsk,BY,52.6333,29.7333,44.6,62,88,13.82,overcast clouds
595,Paramonga,PE,-10.6667,-77.8333,66.0,76,88,10.31,overcast clouds
596,Sao Joao Da Barra,BR,-21.6403,-41.0511,80.69,80,38,12.59,scattered clouds
597,Belyy Yar,RU,53.6039,91.3903,39.09,60,0,13.42,clear sky
598,Mehran,IR,33.1222,46.1646,78.28,18,0,11.95,clear sky
599,Zaysan,KZ,47.4667,84.8667,34.12,54,0,4.92,clear sky
600,Quime,BO,-16.9833,-67.2167,68.36,35,2,6.89,clear sky
601,Thaba-Tseka,LS,-29.522,28.6084,64.17,18,2,24.29,clear sky
602,Linxia,CN,35.6003,103.2064,48.13,69,8,0.89,clear sky
603,Necochea,AR,-38.5473,-58.7368,68.04,52,76,12.59,broken clouds
604,Sompeta,IN,18.9333,84.6,78.26,71,17,1.95,few clouds
605,Xichang,CN,27.8964,102.2634,55.89,86,55,2.84,broken clouds
606,Leningradskiy,RU,69.3833,178.4167,8.17,88,100,8.84,overcast clouds
607,Graham,US,47.0529,-122.2943,50.29,95,90,0.0,overcast clouds
608,Arenys De Mar,ES,41.5819,2.5494,73.49,59,77,1.01,broken clouds
609,Bereda,ES,43.2686,-7.5406,66.42,60,100,4.14,overcast clouds
610,Dunedin,NZ,-45.8742,170.5036,53.8,82,100,11.99,overcast clouds
611,Carcassonne,FR,43.25,2.1667,70.68,47,0,9.22,clear sky
612,Nargana,PA,9.4428,-78.5906,82.47,75,97,1.88,overcast clouds
613,Omboue,GA,-1.5746,9.2618,79.0,75,95,6.58,overcast clouds
614,Aban,RU,56.67,96.06,36.91,64,99,13.35,overcast clouds
615,Zomin,UZ,39.9606,68.3958,48.11,44,0,6.78,clear sky
616,Camacha,PT,33.0833,-16.3333,71.53,60,20,13.8,few clouds
617,Jerusalem,IL,31.769,35.2163,68.2,71,0,8.01,clear sky
618,Yacuiba,BO,-22.038,-63.6797,98.51,25,77,9.6,broken clouds
619,Smoky Lake,CA,54.1169,-112.4686,34.52,80,100,10.36,light rain
620,Puqi,CN,29.7167,113.8833,55.94,71,46,3.47,light rain
621,Ulaanbaatar,MN,47.9077,106.8832,23.13,58,0,0.0,clear sky
622,Dali,CN,25.7,100.1833,54.97,89,0,3.85,clear sky
623,Aljezur,PT,37.3191,-8.8033,71.29,43,15,6.53,few clouds
624,Gazanjyk,TM,39.2446,55.5154,61.5,15,0,14.99,clear sky
625,Gornopravdinsk,RU,60.05,69.9,45.5,82,100,15.66,light rain
626,Kysyl-Syr,RU,63.8986,122.7617,30.51,97,100,6.91,light snow
627,Lemoore,US,36.3008,-119.7829,57.54,75,1,4.61,clear sky
628,Qaqortoq,GL,60.7167,-46.0333,37.9,74,87,7.54,overcast clouds
629,Velika Kladusa,BA,45.1894,15.8117,53.2,64,45,5.86,scattered clouds
630,Plettenberg Bay,ZA,-34.0527,23.3716,59.95,74,31,18.28,light rain
631,Zitlala,MX,17.6333,-99.0833,60.13,90,100,1.66,overcast clouds
632,Dole,FR,47.0833,5.5,56.82,47,0,14.97,clear sky
633,Sechura,PE,-5.5569,-80.8222,70.16,70,100,9.69,overcast clouds
634,Adrar,MR,20.5022,-10.0711,90.05,13,34,1.88,scattered clouds
635,Pokhara,NP,28.2333,83.9833,64.56,90,68,2.95,broken clouds
636,Bosobolo,CD,4.1833,19.9,86.94,62,15,2.08,few clouds
637,Scarborough,GB,54.2797,-0.4044,55.22,77,100,3.0,overcast clouds
638,Mitsamiouli,KM,-11.3847,43.2844,79.7,72,0,7.09,clear sky
639,Rongcheng,CN,30.634,117.8517,56.89,80,100,3.2,light rain
640,Karratha,AU,-20.7377,116.8463,81.36,49,76,8.5,broken clouds
641,Nelson Bay,AU,-32.7167,152.15,68.0,96,62,4.79,broken clouds
642,Kloulklubed,PW,7.0419,134.2556,77.5,72,100,4.12,overcast clouds
643,Coihaique,CL,-45.5752,-72.0662,50.61,50,20,9.22,few clouds
644,Ataco,CO,3.5915,-75.3818,79.86,73,98,1.21,overcast clouds
645,Vega De Alatorre,MX,20.0333,-96.6333,79.68,72,35,7.34,scattered clouds
646,Raypur,IN,22.4108,88.5094,82.36,72,44,3.44,scattered clouds
647,Marana,US,32.4367,-111.2254,72.34,36,1,10.36,clear sky
648,El Cope,PA,8.6167,-80.6,76.46,76,52,0.63,broken clouds
649,Turukhansk,RU,65.8167,87.9833,32.14,97,100,14.38,light snow
650,Nianzishan,CN,47.5167,122.8833,43.21,45,0,4.63,clear sky
651,Bitam,GA,2.076,11.5007,79.38,60,84,4.41,broken clouds
652,Kralendijk,BQ,12.15,-68.2667,87.78,66,40,20.71,scattered clouds
653,Bundaberg,AU,-24.85,152.35,77.22,86,48,5.99,light rain
654,Kropotkin,RU,45.4375,40.5756,61.18,52,97,7.43,overcast clouds
655,Liwale,TZ,-9.7667,37.9333,89.83,27,44,7.63,scattered clouds
656,Peniche,PT,39.3558,-9.3811,77.61,58,94,10.8,overcast clouds
657,Safut,JO,32.0336,35.8332,67.78,49,20,10.36,few clouds
658,Kondopoga,RU,62.2057,34.2614,35.28,73,100,8.84,overcast clouds
659,Inirida,CO,3.8653,-67.9239,88.59,62,57,2.39,broken clouds
660,Novyy Urengoy,RU,66.0833,76.6333,31.5,99,100,9.33,light snow
661,Lander,US,42.833,-108.7307,45.99,65,1,0.0,clear sky
662,Madison,US,34.7334,-86.5667,64.45,78,1,1.99,clear sky
663,Ibipeba,BR,-11.6408,-42.0111,83.68,53,100,2.89,overcast clouds
664,Khandagayty,RU,50.7333,92.05,32.59,69,0,4.07,clear sky
665,Hami,CN,42.8,93.45,52.27,36,100,7.23,overcast clouds
666,Farafangana,MG,-22.8167,47.8333,74.62,86,6,8.77,clear sky
667,Pouembout,NC,-21.1333,164.9,69.04,93,13,5.41,few clouds
668,Atasu,KZ,48.6814,71.6433,44.55,47,6,15.82,clear sky
669,Muros,ES,42.7762,-9.0603,63.99,78,100,3.27,overcast clouds
670,Ust-Nera,RU,64.5667,143.2,-0.18,99,91,1.12,overcast clouds
671,Atbasar,KZ,51.8,68.3333,51.28,60,31,18.19,scattered clouds
672,Visnes,NO,59.3556,5.2242,49.57,61,75,11.5,broken clouds
673,Itamaraca,BR,-7.7478,-34.8256,86.68,66,43,11.5,scattered clouds
674,Jumla,NP,29.2747,82.1838,49.51,91,7,4.05,clear sky
675,Suntar,RU,62.1444,117.6319,39.96,83,100,9.8,overcast clouds
676,Mackenzie,CA,55.2999,-123.1698,28.62,100,40,3.44,scattered clouds
677,Casa Grande,US,32.8795,-111.7573,72.81,41,1,4.61,clear sky
678,Palma Soriano,CU,20.2172,-75.9989,83.26,61,61,7.38,broken clouds
679,Ilinskiy,RU,55.619,38.1182,45.52,65,40,8.95,scattered clouds
680,Matara,LK,5.9485,80.5353,78.89,79,9,7.45,clear sky
681,Dong Hoi,VN,17.4833,106.6,69.73,86,100,11.1,overcast clouds
682,Vallenar,CL,-28.5708,-70.7581,68.49,34,0,7.52,clear sky
683,Emba,KZ,48.8264,58.1442,51.42,66,4,9.69,clear sky
684,Vila,PT,42.0304,-8.1588,60.33,67,100,4.59,overcast clouds
685,Sambava,MG,-14.2667,50.1667,77.14,88,31,4.03,light rain
686,Rio Grande,BR,-32.035,-52.0986,69.91,83,100,5.46,overcast clouds
687,Garissa,KE,-0.4536,39.6401,93.7,31,41,7.56,scattered clouds
688,Burns Lake,CA,54.2331,-125.7533,33.22,84,100,3.85,overcast clouds
689,Mahon,ES,39.8885,4.2658,64.96,63,20,13.8,few clouds
690,Tongzi,CN,28.7829,105.0877,58.93,74,47,1.19,light rain
691,Port-Gentil,GA,-0.7193,8.7815,78.21,78,100,7.38,overcast clouds
692,Mbanza-Ngungu,CD,-5.25,14.8667,77.63,74,96,2.46,moderate rain
693,Lipin Bor,RU,60.2622,37.9763,38.03,97,100,9.53,light rain
694,Ulcinj,ME,41.9294,19.2244,64.62,80,21,1.92,few clouds
695,Kirakira,SB,-10.4544,161.9205,78.64,86,24,6.78,few clouds
696,Zhangye,CN,38.9342,100.4517,47.84,45,7,3.91,clear sky
697,Morondava,MG,-20.2833,44.2833,76.28,64,0,13.8,clear sky
698,Chattanooga,US,35.0456,-85.3097,63.36,82,40,4.0,scattered clouds
699,Saint-Pierre,RE,-21.3393,55.4781,77.58,80,90,3.44,light rain
